Time (h),Aeration rate(Fg:L/h),Agitator RPM(RPM:RPM),Sugar feed rate(Fs:L/h),Acid flow rate(Fa:L/h),Base flow rate(Fb:L/h),Heating/cooling water flow rate(Fc:L/h),Heating water flow rate(Fh:L/h),Water for injection/dilution(Fw:L/h),Air head pressure(pressure:bar),Dumped broth flow(Fremoved:L/h),Substrate concentration(S:g/L),Dissolved oxygen concentration(DO2:mg/L),Penicillin concentration(P:g/L),Vessel Volume(V:L),Vessel Weight(Wt:Kg),pH(pH:pH),Temperature(T:K),Generated heat(Q:kJ),carbon dioxide percent in off-gas(CO2outgas:%),PAA flow(Fpaa:PAA flow (L/h)),PAA concentration offline(PAA_offline:PAA (g L^{-1})),Oil flow(Foil:L/hr),NH_3 concentration off-line(NH3_offline:NH3 (g L^{-1})),Oxygen Uptake Rate(OUR:(g min^{-1})),Oxygen in percent in off-gas(O2:O2  (%)),Offline Penicillin concentration(P_offline:P(g L^{-1})),Offline Biomass concentratio(X_offline:X(g L^{-1})),Carbon evolution rate(CER:g/h),Ammonia shots(NH3_shots:kgs),Viscosity(Viscosity_offline:centPoise),Fault reference(Fault_ref:Fault ref),0 - Recipe driven 1 - Operator controlled(Control_ref:Control ref),1- No Raman spec, 1-Raman spec recorded,2-PAT control(PAT_ref:PAT ref),Batch reference(Batch_ref:Batch ref),Batch ID,Fault flag
33.2,55,100,43,0.0,43.651,114.68,0.0001,0,0.9,0,0.0029063,11.928,1.2472,60803,65681.0,6.5124,297.99,627.17,0.93729,0.0,,35,,0.99319,0.19313,,,0.65502,0,,0,1,1,53,53,0,26904.0,27051.0
33.4,55,100,43,0.0,39.226,116.34,0.0001,0,0.9,0,0.0028516,11.931,1.2761,60814,65701.0,6.5066,297.99,627.79,0.94208,0.0,,35,,0.9884,0.19317,,,0.65837,0,,0,1,1,53,53,0,26538.0,26353.0
33.6,55,100,43,0.0,37.137,116.76,0.0001,0,0.9,0,0.0028339,11.895,1.3053,60824,65721.0,6.4978,298.0,629.75,0.94684,0.0,,35,,0.99597,0.19308,,,0.66171,0,,0,1,1,53,53,0,27175.0,27490.0
33.8,55,100,43,0.0,38.527,118.91,0.0001,0,0.9,0,0.0028337,11.858,1.3346,60835,65741.0,6.4903,298.0,629.2,0.95159,0.0,,35,,1.0116,0.19291,,,0.66504,0,,0,1,1,53,53,0,26811.0,26959.0
34.0,55,100,43,0.0,42.906,118.24,0.0001,0,0.9,0,0.0028622,11.81,1.3637,60847,65762.0,6.4884,298.0,629.66,0.95636,0.0,,35,,1.0276,0.19273,,,0.66838,0,,0,1,1,53,53,0,27947.0,27762.0
34.2,55,100,43,0.0,48.035,118.78,0.0001,0,0.9,0,0.002848,11.785,1.3933,60859,65784.0,6.4907,298.0,628.83,0.96113,0.0,,35,,1.0371,0.19263,,,0.67172,0,,0,1,1,53,53,0,27085.0,27067.0
34.4,55,100,43,0.0,52.257,117.79,0.0001,0,0.9,0,0.0027958,11.787,1.4235,60873,65806.0,6.4962,298.0,629.73,0.96586,0.0,,35,,1.0358,0.19263,,,0.67504,0,,0,1,1,53,53,0,27726.0,27875.0
34.6,55,100,43,0.0,54.272,118.83,0.0001,0,0.9,0,0.0028091,11.747,1.454,60887,65829.0,6.5025,298.01,631.96,0.97059,0.0,,35,,1.0429,0.19255,,,0.67835,0,,0,1,1,53,53,0,27368.0,27351.0
34.8,55,100,43,0.0,53.794,121.56,0.0001,0,0.9,0,0.0027248,11.764,1.4854,60900,65852.0,6.5083,298.02,633.79,0.97526,0.0,,35,,1.036,0.19261,,,0.68162,0,,0,1,1,53,53,0,28516.0,28999.0
35.0,55,100,43,0.0,50.995,124.07,0.0001,0,0.9,0,0.0027732,11.668,1.5166,60914,65875.0,6.5115,298.03,637.84,0.97996,0.0,,35,,1.0627,0.19233,,,0.68492,0,,0,1,1,53,53,0,28162.0,28478.0
